H,1312000.0
He,2372300.0
Li,520200.00000000006
Be,899500.0
B,800600.0
C,1086500.0
N,1402300.0
O,1313900.0
F,1681000.0
Ne,2080699.9999999998
Na,495800.0
Mg,737700.0
Al,577500.0
Si,786500.0
P,1011800.0
S,999600.0
Cl,1251200.0
Ar,1520600.0
K,418800.0
Ca,589800.0
Sc,633100.0
Ti,658800.0
V,650900.0
Cr,652900.0
Mn,717300.0
Fe,762500.0
Co,760400.0
Ni,737100.0
Cu,745500.0
Zn,906400.0
Ga,578800.0
Ge,762000.0
As,947000.0
Se,941000.0
Br,1139900.0
Kr,1350800.0
Rb,403000.0
Sr,549500.0
Y,600000.0
Zr,640100.0
Nb,652100.0
Mo,684300.0
Tc,702000.0
Ru,710200.0
Rh,719700.0
Pd,804400.0
Ag,731000.0
Cd,867800.0
In,558300.0
Sn,708600.0
Sb,834000.0
Te,869300.0
I,1008400.0
Xe,1170400.0
Cs,375700.0
Ba,502900.0
La,538100.0
Ce,534400.0
Pr,527000.0
Nd,533100.0
Pm,540000.0
Sm,544500.0
Eu,547100.0
Gd,593400.0
Tb,565800.0
Dy,573000.0
Ho,581000.0
Er,589300.0
Tm,596700.0
Yb,603400.0
Lu,523500.0
Hf,658500.0
Ta,761000.0
W,770000.0
Re,760000.0
Os,840000.0
Ir,880000.0
Pt,870000.0
Au,890100.0
Hg,1007100.0
Tl,589400.0
Pb,715600.0
Bi,703000.0
Po,812100.0
At,920000.0
Rn,1037000.0
Fr,380000.0
Ra,509300.0
Ac,499000.0
Th,587000.0
Pa,568000.0
U,597600.0
Np,604500.0
Pu,584700.0
Am,578000.0
Cm,581000.0
Bk,601000.0
Cf,608000.0
Es,619000.0
Fm,627000.0
Md,635000.0
No,642000.0
Lr,nan
Rf,nan
Db,nan
Sg,nan
Bh,nan
Hs,nan
Mt,nan
